Nom,Duree,Personnes,Type,Ingredients,Ustensiles,Etapes
Béchamel,15 min,6,Sauce,"['50g', 'de farine ', '50g', 'de beurre ', '60cl', 'de lait ', '', 'sel ', '', 'poivre ', '', 'muscade râpée']","['casserole', 'Cuillère en bois', 'Râpe', 'balance de cuisine']","[{'Étape 1': 'Faites fondre le beurre dans une casserole à fond épais. '}, {'Étape 2': 'Ajoutez la farine et remuez avec une cuillère de bois sans laisser colorer. La farine doit juste épaissir.'}, {'Étape 3': ""Versez le lait progressivement, sans cesser de remuer, jusqu'à ce que la sauce épaississe. ""}, {'Étape 4': 'Assaisonnez de sel, poivre et muscade râpée.'}]"
Mayonnaise maison,10 min,4,Sauce,"['1c.à.s', 'c.à.s', 'de moutarde de Dijon ', '1filet', 'de vinaigre ', '10cl', ""d'huile neutre"", '', 'sel ', '', 'poivre ', '11', ""jaune d'oeuf ""]","['saladier', 'Fouet cuisine']","[{'Étape 1': ""Les ingrédients doivent être à température ambiante.\nMélangez le jaune d'oeuf, un peu de sel, poivre, la moutarde et le vinaigre.""}, {'Étape 2': ""Fouetter en versant peu à peu l'huile, la mayonnaise doit peu à peu épaissir.""}, {'Étape 3': 'On peut y ajouter des herbes ou du citron pour la parfumer.'}]"
Béchamel rapide et facile,7 min,4,Sauce,"['25cl', 'de lait ', '20g', 'de beurre ', '2c.à.s', 'c.à.s', 'de farine ', '', 'sel ', '', 'poivre ']","['Micro-ondes', 'Fouet cuisine', 'saladier', 'Grands récipient', 'balance de cuisine']","[{'Étape 1': 'Dans un grand récipient, faire fondre le beurre 1 minute au micro-ondes.\nLe sortir et ajouter la farine en remuant bien.'}, {'Étape 2': 'Porter le lait à ébullition, le laisser bouillir quelques instants.'}, {'Étape 3': 'Verser le lait sur le mélange farine/beurre en fouettant. Assaisonner.'}, {'Étape 4': 'Remettre le tout au micro-ondes pendant 1 minute.'}, {'Étape 5': ""Bien fouetter, c'est prêt !""}]"
Sauce pour poisson,15 min,4,Sauce,"['20g', 'de beurre ', '4c.à.s', 'c.à.s', 'de jus de citron jaune', '', 'herbes de Provence (ou herbes fraîches si vous préférez)', '1grosse c.à.s', 'grosse c.à.s', 'de moutarde ', '', 'poivre ', '', 'sel ', '1c.à.s', 'c.à.s', 'de maïzena ou autre (si vous préférez les sauces plus épaisses)', '40cl', 'de crème liquide ']","['casserole', 'Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Faire fondre le beurre dans une casserole et déglacer avec le jus de citron.'}, {'Étape 2': 'Ajouter la crème et la moutarde, bien mélanger.'}, {'Étape 3': 'Assaisonner à votre goût avec le sel, le poivre et les herbes.'}, {'Étape 4': 'Laisser cuire environ 5 minutes à feu doux. Ajouter éventuellement de la maizena pour épaissir la sauce.'}, {'Étape 5': 'Servir pour accompagner votre poisson. Bon appétit !'}]"
Vinaigrette simple et rapide,2 min,1,Sauce,"['1c.à.c', 'c.à.c', 'de moutarde ', '2c.à.s', 'c.à.s', 'de vinaigre ', '3c.à.s', 'c.à.s', ""d'huile d'olive "", '', 'poivre ', '', 'sel ']","['saladier', 'Fouet cuisine']","[{'Étape 1': ""Mélangez la moutarde et le vinaigre. Ajoutez ensuite l'huile. Mélangez bien, voilà c'est prêt !""}]"
Sauce pesto,30 min,2,Sauce,"['30g', 'de pignons de pin', '3gousses', ""d'ail "", '12.5cl', ""d'huile d'olive "", '50g', 'de Parmesan ', '', 'poivre ', '', 'sel ', '60g', 'de basilic frais ']","['couteau', 'Mixeur']","[{'Étape 1': 'Emincez les gousses d’ail et les couper en petits morceaux.'}, {'Étape 2': 'Hachez le basilic.'}, {'Étape 3': 'Mixez les pignons, l’ail, l’huile et le parmesan.'}, {'Étape 4': 'A la fin rajoutez le basilic et mixer encore une fois jusqu’à ce que la sauce soit lisse.'}, {'Étape 5': 'Assaisonnez de sel et poivre'}, {'Étape 6': 'Vous pouvez ensuite conservez cette sauce dans des petits pots de bébé en la congelant ou en la stérilisant'}]"
Sauce bolognaise facile,1 h 15 min,4,Sauce,"['11', 'oignon ', '2gousses', ""d'ail "", '22', 'carottes et 1 navet', '400g', 'de boeuf haché ', '1petite boîte', 'de champignon entiers', '20cl', 'de vin blanc ', '4pincées', 'de sucre en poudre ', '', 'poivre ', '', 'sel ', '', 'herbes de Provence ', '22', 'feuilles de laurier ', '20cl', 'de bouillon de boeuf ', '1bocal', 'de tomates pelées (environ 720 g) avec son jus', '1petite boîte', 'de double concentré de tomates (environ 70 g)']","['bol', 'sauteuse', 'Cuillère en bois', 'pôele', 'saladier', 'Couvercle', 'dénoyauteur', 'balance de cuisine']","[{'Étape 1': ""La cuisson se fait dans une sauteuse. Faire revenir dans de l'huile d'olive chaude l'oignon et les 2 gousses d'ail grossièrement hachés, à petit feu pour ne pas qu'ils brûlent. Mélanger souvent.""}, {'Étape 2': 'Quand les oignons ont blondis, rajouter les carottes et le navet coupés en petits dés et cuire à feu moyen 5 mn tout en mélangeant souvent. '}, {'Étape 3': ""Ajouter 400 g de boeuf haché et cuire en mélangeant souvent, jusqu'à ce que la viande soit un peu cuite. ""}, {'Étape 4': 'Ajouter les champignons et mélanger. '}, {'Étape 5': ""Ajouter le vin et laisser mijoter à feu moyen jusqu'à ce que le vin se soit presque entièrement évaporé. ""}, {'Étape 6': 'Ajouter le bocal de tomates et la boîte de concentré et mélanger. Baisser le feu. '}, {'Étape 7': 'Ajouter 4 pincées de sucre en poudre, sel et poivre (attnetion, pas de trop, il vaut mieux en rajouter par la suite), éventuelles herbes de Provence et feuilles de laurier. '}, {'Étape 8': ""Mélanger puis laisser cuire 45 mn à 1h environ, jusqu'à ce que le jus des tomates pelées soit pratiquement disparu. Mélanger de temps en temps pendant la cuisson et surtout ne pas couvrir d'un couvercle.""}, {'Étape 9': 'Oter les feuilles de laurier et servez'}]"
Escargots au beurre persillé,28 min,4,Sauce,"['350g', 'de beurre ', '2gousses', ""d'ail "", '4c.à.s', 'c.à.s', 'de persil haché', '', 'poivre ', '', 'sel ', '4848', 'escargots et 48 coquilles', '44', 'échalotes ']","['Four', 'balance de cuisine', 'plat']","[{'Étape 1': ""Hachez les échalotes, pilez l'ail. M2langez avec le persil, du sel et du poivre. Taravillez le beurre en pommade avec ces ingrédients.""}, {'Étape 2': 'Déposez une noix de beurre dans chaque coquille, posez un esgarcot dessus puis recouvrez de beurre. Lissez bien la surface.'}, {'Étape 3': ""Placez les escargots dans un plat garni de haricots secs pour qu'ils tiennent bien et ne se renversent pas. Faites cuire 8 minutes au four à 240°C (thermostat 8).""}]"
Sauce au caramel et beurre salé,20 min,1,Sauce,"['100g', 'de sucre ', '1pincée', 'de fleur de sel ( facultatif)', '15cl', 'de crème liquide ', '60g', 'de beurre salé ']","['couteau', 'Micro-ondes', 'casserole', 'Cuillère en bois', 'Fouet cuisine', 'balance de cuisine']","[{'Étape 1': 'Couper votre beurre salé en dés (réserver).'}, {'Étape 2': 'Chauffer au micro-ondes la crème liquide.'}, {'Étape 3': 'Dans une casserole assez grande (pour une cuisson plus homogène) et en inox mettre votre sucre,'}, {'Étape 4': ""cuire a feu moyen sans eau, ne rien mettre d'autre dans la casserole, même pas une cuillère, vous pouvez remuer en tournant la casserole pour que la cuisson soit homogène. ""}, {'Étape 5': 'Attendre que le sucre devienne ambrée retirer du feu, ajouter votre crème bien chaude et votre beurre et fouetter énergiquement .'}, {'Étape 6': 'Remettre sur le feu doux, en fouettant vivement jusqu’à ce que le caramel soit bien dissous.'}, {'Étape 7': 'Mettre dans un petit pot et déguster !'}]"
Beurre maître d'hôtel,5 min,4,Sauce,"['75g', 'de beurre ', '1c.à.s', 'c.à.s', 'de persil ', '1⁄21⁄2', 'citron ', '', 'poivre ', '', 'sel ', '1⁄21⁄2', 'échalote ']","['film alimentaire', 'balance de cuisine']","[{'Étape 1': ""Mixez l'échalote, le persil et le beurre avec un peu de sel et de poivre. Ajoutez un peu de jus de citron et formez une pâte homogène.""}, {'Étape 2': ""Formez un rouleau, emballez dans du film alimentaire et placez au frais jusqu'au moment de servir.""}]"
